Year;Average;Median
"""2023"";""12178"";""9329"""
"""2022"";""11480"";""8615"""
"""2021"";""10832"";""8220"""
"""2020"";""10608"";""7744"""
"""2019"";""10750"";""7981"""
"""2018"";""10664"";""7955"""
"""2017"";""10610"";""7850"""
"""2016"";""10336"";""7748"""
"""2015"";""10394"";""7733"""
"""2014"";""9982"";""7320"""
"""2013"";""9481"";""7030"""
"""2012"";""9394"";""6772"""
"""2011"";""8722"";""6307"""
"""2010"";""7812"";""5600"""
"""2009"";""7410"";""5360"""
"""2008"";""7691"";""5492"""
"""2007"";""6790"";""4846"""
"""2006"";""6181"";""4430"""
"""2005"";""5934"";""4270"""
"""2004"";""5666"";""4066"""
"""2003"";""5670"";""4071"""
"""2002"";""5667"";""4096"""
"""2001"";""5972"";""4363"""
"""2000"";""5436"";""4000"""
